First Name,Last Name,Username,User Agent,Employer,Email,Street,City,State,Postal Code,Country,Orders,Order Amount
Nicolas,Évrat,ed280cf2-2a4b-435d-93fd-4f110903e5ad,Mozilla/5.0 (Windows; U; MSIE 9.0; WIndows NT 9.0; en-US)),Kléber Group,victor_voluptate@sfr.fr,Hénaut Knolls,Salomé berg,Illinois,50503-3001,BI,110,563147.6592762221
William,Ferry,3bb023dd-b706-4e7f-ba14-cc87d8b781be,"Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Geneau and Ogier Inc,héloïse_aliquam@hotmail.fr,Dupond Throughway,Damien ville,New Hampshire,40669,CF,159,102485.89227384652
François,Geneau,2c8547f7-2535-4fd5-9989-574789f4c35e,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.517 Safari/537.36",Évrat and Vergez LLC,gerard_nostrum@orange.fr,William Coves,Héloïse chester,Virginia,11807,IE,1,386486.21128969896
Nicolas,Walliand,b421b06c-f258-4cf8-9a80-2c64ea4f413b,"Mozilla/5.0 (Linux; U; Android 2.3; en-us) AppleWebKit/999+ (KHTML, like Gecko) Safari/999.9",Truchot Inc,ingrid_nisi@laposte.fr,Ingrid Brook,Ugo mouth,Ohio,71487-1987,GN,96,108226.99992209439
Ingrid,Martin,7bc54120-20b8-42bb-870c-e760825b6741,"Mozilla/5.0 (iPad; CPU OS 5_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko ) Version/5.1 Mobile/9B176 Safari/7534.48.3",Martin and Urbain LLC,yann_asperiores@outlook.fr,Sablonnière Hill,Port Yann Martin mouth,Utah,10048-7973,BM,184,914618.8152455237
Ugo,Kléber,f73e7c5b-7c8c-44c6-be4d-bb647e29ddb5,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,Ferry and Kléber and Sons,céline_rem@outlook.fr,Léopold Lock,Parmentier chester,Georgia,10473,PK,178,872387.5879886643
Yann,Walliand,6a9e1a36-712a-477d-8eec-17b1abc2f2fc,"Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Geneau and Sons,ugo_ipsa@orange.fr,Damien Bridge,Port William Dupond mouth,Oklahoma,98928-4931,GE,105,818609.909514133
Quentin,Barbier,e2ffded5-7030-4c3f-b4a5-cad8ffa3cd62,Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/28.0,Walliand and Sons,régis_ipsa@orange.fr,Zola Throughway,Cannet borough,South Carolina,19327-9672,VI,95,94986.28952588883
Martine,Ferry,fc648c4c-7df6-424e-995b-81bf70d75011,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1,Évrat and Ferry Inc,yann_quisquam@orange.fr,Salomé Radial,Vergez ville,Missouri,08791-8323,SV,115,838930.9479729492
Léopold,Urbain,3b638860-0644-489b-b2e8-0bee86e7e4f1,"Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Geneau and Sons,quentin_voluptatem@laposte.fr,Cannet Views,Vergez shire,Missouri,79690,DM,196,489043.26369725546
Xavier,Niels,552b14e2-f7b8-480b-afdc-ce3c3f7fa263,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1,Évrat Inc,céline_harum@hotmail.fr,Parmentier Prairie,North Gerard Yvars furt,Michigan,50180-5873,MC,54,748217.8504951382
Pascal,Cannet,06d87048-9858-48ea-b5ed-bcea19fff172,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",Cannet Group,martine_deleniti@laposte.fr,Thierry Motorway,Martin port,Colorado,28688,MX,39,896499.4177794785
Héloïse,Ogier,60e776ee-b3f2-4896-a66e-72182f860d11,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_3) AppleWebKit/537.75.14 (KHTML, like Gecko) Version/7.0.3 Safari/7046A194A",Niels and Rollin Group,xavier_vero@hotmail.fr,Martin Ports,North Pascal Rollin bury,Maryland,02294-9986,RS,85,164583.68480059016
Céline,Sablonnière,31e26fed-4325-48d9-a684-998a01d26d81,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1944.0 Safari/537.36",Niels and Sons,thierry_eum@sfr.fr,Sablonnière Gardens,Salomé fort,Nevada,50048,BI,146,224422.41648779303
Océane,Walliand,65ec832a-5c8c-4e5a-84ac-96e3e4c40a9b,"Mozilla/5.0 (Linux; U; Android 4.0.3; ko-kr; LG-L160L Build/IML74K) AppleWebkit/534.30 (KHTML, like Gecko) Version/4.0 Mobile Safari/534.30",Niels and Lombard Inc,céline_aut@hotmail.fr,Thierry Squares,Sablonnière port,South Carolina,14895-9490,YT,20,112685.44980878859
Zoé,Yvars,2344cd61-4c63-4e28-9e5d-c960c8316732,Mozilla/5.0 (X11; OpenBSD amd64; rv:28.0) Gecko/20100101 Firefox/28.0,Janel Inc,karim_enim@free.fr,Thierry Inlet,New Amandine Barbier port,Pennsylvania,50512-9134,SD,113,992874.05147264
Thierry,Yvars,93813d0b-28cd-43a4-bf1a-21f84ed4b8fe,Opera/9.80 (Macintosh; Intel Mac OS X 10.6.8; U; fr) Presto/2.9.168 Version/11.52,Parmentier LLC,martine_nulla@hotmail.fr,Amandine Court,Gerard bury,Ohio,50590-1401,CF,121,582711.6926521033
William,Truchot,269d6e31-13e1-4b1b-a8e8-d057fed97c5a,"Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Ogier Group,ingrid_ut@outlook.fr,Victor Ways,Kléber borough,Indiana,93502,BS,198,964635.0376390562
Elodie,Hénaut,de639e1b-a2bf-4742-b5ca-c76a5fa8416c,"Mozilla/5.0 (iPhone; U; CPU iPhone OS 4_2_1 like Mac OS X; nb-no) AppleWebKit/533.17.9 (KHTML, like Gecko) Version/5.0.2 Mobile/8C148a Safari/6533.18.5",Zola and Kléber and Sons,nicolas_optio@outlook.fr,Quentin Place,Lombard mouth,Arizona,74907-8363,AI,124,123977.45472089783
Régis,Kléber,7b7603ad-4c63-45b4-8b6a-a3d037fff45c,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; AS; rv:11.0) like Gecko,Walliand Inc,amandine_consequuntur@hotmail.fr,Martin Falls,Zola chester,Mississippi,15140-2633,SX,3,589773.3292999732
